Dataset_Short,Naive,AutoARIMA,DeepAR,NBEATS,NHITS,DLinear,NLinear,VanillaTransformer,TiDE,KAN
BHC Cash Liquidity,0.0479553858985802,0.0658448302120559,0.0630812116050556,0.048711873494851,0.0651224977685169,0.2866578040610893,0.190504551343844,0.1049076844573738,0.1020643540937533,0.0480650051441668
BHC Leverage,2.840259487207052,4.348108521688884,10.337303973607826,2.7761477706407223,2.791619703759944,10.967354970705223,3.0597074217910127,8.66552471914642,5.630508308025156,2.8615469119544183
Bank Cash Liquidity,0.0584677034558224,0.073913012359926,0.0817051557825334,0.059325886623597,0.0787677232747442,0.3027857202525315,0.195818380397164,0.1263339133560446,0.1188669565328034,0.0604244805381784
Bank Leverage,2.99615400871838,3.957432498811961,10.161840638251206,2.935213024564995,2.953556235377979,10.610916023907004,3.230500450084077,8.421439195240533,5.523827039771897,3.015267731484866
CDS Contract Returns,0.02057601155361,0.021556176079644,0.0214494076853374,0.0216746741103382,0.0796741448415417,0.2041076303225511,0.1663492719564754,0.1009656999078642,0.0865398206208881,0.0208966573079427
CDS Portfolio Returns,0.0011092614149674,0.0016113843303173,0.0036098652053624,0.0136974183842539,0.0789708942174911,0.2314987927675247,0.1573714017868042,0.098339095711708,0.0871935710310936,0.0012389088515192
CDS-Bond Basis,3.9704444045484486,4.117572864827284,3.832241942787617,3.5218994712382905,3.7711253110363,4.798835557852752,4.246976544203747,3.0626755296765222,3.5168928731520785,3.049502513447746
CIP Spreads,14.67148494720459,16.549327850341797,24.120681762695312,14.490862846374512,14.507862091064451,27.76988983154297,16.109935760498047,22.947710037231445,17.845706939697266,14.332756996154783
CJS Option Returns,0.0390729270875453,0.0425471365451812,0.0422808192670345,0.0423821285367012,0.0895482450723648,0.2348772287368774,0.1742148995399475,0.2118785828351974,0.1015325188636779,0.0335047058761119
CRSP Stock Returns,0.1776534370754076,0.1472275956047541,0.1457938737413568,0.1723792428760963,0.1809589256257062,0.2869474466022519,0.253906828034196,0.2113560361693863,0.1860486743679038,0.1462211198351068
CRSP Stock Returns (ex-div),0.1776422310942881,0.147151886262208,0.1457371738415774,0.1721302546461337,0.1809127485757237,0.2869842831451114,0.2539800281828455,0.2120863823761367,0.1861133879235834,0.1463112537582732
Commodity Returns,0.0794237479567527,0.0713332816958427,0.0730652138590812,0.0778612419962883,0.0905696600675582,0.2282115221023559,0.1448745280504226,0.1837738007307052,0.1001724153757095,0.0734637826681137
Corporate Bond Returns,0.0308062423267825,0.028493101016937,0.0280262830871354,0.0309592684464622,0.050144797812107,0.1871522095380192,0.1626869163284165,0.0956889927319538,0.0966721311436445,0.0276757914505859
Corporate Portfolio Returns,0.0254375226795673,0.0253801736980676,0.0250355638563632,0.0263577345758676,0.058340061455965,0.2250675857067108,0.1530776619911193,0.0864100456237793,0.0844045057892799,0.0254598520696163
FF25 Size-BM Returns,0.0169479735195636,0.015338072553277,0.0156668778508901,0.0196014754474163,0.0775019228458404,0.2210032492876052,0.1588926911354065,,0.0888064876198768,0.0153559911996126
FX Returns,2.319484233856201,2.319484233856201,2.24436616897583,2.38899040222168,2.456092357635498,2.329434633255005,2.3282999992370605,2.1930992603302,2.2289934158325195,2.4714295864105225
HKM All Factor Returns,108.2439422607422,107.5408706665039,132.3832244873047,116.09574127197266,115.52328491210938,133.30349731445312,108.26881408691406,131.85260009765625,118.47193908691406,117.72540283203124
HKM Daily Factor Returns,21.945653915405277,21.945476531982425,59.44304275512695,17.79578399658203,18.475740432739254,65.92170715332031,22.05521011352539,58.74998474121094,27.651350021362305,18.8090763092041
HKM Monthly Factor Returns,314.3249816894531,319.8045654296875,111.89592742919922,218.041748046875,248.64488220214844,167.8167266845703,326.4989318847656,111.43907928466795,86.06317901611328,149.40194702148438
HKM Option Returns,0.03184025734663,0.0372307412326335,0.0357834659516811,0.0377886146306991,0.0832663476467132,0.2299936562776565,0.1684397608041763,0.2070702910423278,0.0953249111771583,0.0273806825280189
TIPS-Treasury Basis,13.481407165527344,18.22692489624023,18.680295944213867,13.107269287109377,13.762778282165527,20.86149406433105,13.491487503051758,17.352569580078125,13.963001251220703,11.620384216308594
Treasury Bond Returns,0.0070453110358697,0.0077653351447565,0.0067986309957161,0.0074853245302927,0.0440595201451143,0.2366424944760988,0.1312198501696689,0.1238934633543165,0.0923682562738871,0.0072944979015871
Treasury Portfolio Returns,0.0063479007221758,0.0062908953987061,0.0062849759124219,0.00879099778831,0.0668976902961731,0.224531888961792,0.1528589725494384,0.1615329682826995,0.087568312883377,0.0063836215995252
Treasury Yield Curve,1.2589452266693115,1.2589452266693115,1.77951180934906,1.4999662637710571,1.5747904777526855,3.028619289398194,1.2779488563537598,,1.661407470703125,1.1579102277755735
Treasury-SF Basis,57.98426055908203,57.98426055908203,68.35997009277344,64.54194641113281,60.87119674682617,67.75824737548828,60.53531646728516,68.83590698242188,67.44154357910156,68.51276397705078
Treasury-Swap Basis,20.913476943969727,27.44374656677246,38.40351104736328,23.540966033935547,23.26466941833496,36.05885314941406,20.8400821685791,36.38835906982422,28.44315719604492,31.923742294311523
