Dataset_Short,Naive,Seasonal Naive,AutoARIMA,DeepAR,NBEATS,NHITS,DLinear,NLinear,VanillaTransformer,TiDE,KAN
BHC Cash Liquidity,0.2367758910817927,0.2511363746119786,0.4069096835030632,0.3120951369622609,0.2537543706000107,0.306886025163908,0.7838610241562769,0.6976631144870485,0.5430910302356513,0.5016838985584158,0.2317764662712274
BHC Leverage,0.0621094196182608,0.069825196625084,0.1938406616814596,0.7694161348869867,0.0599738912309684,0.0607116672972714,0.6344059493254139,0.0692181715373709,0.5280528129031391,0.2066928467374287,0.0621840830285993
Bank Cash Liquidity,0.2497519695831415,0.2645165303360891,0.3572275237107881,0.3405160789127779,0.2714383371523598,0.3335724028222808,0.7847174123265118,0.6931843516543337,0.6067403143145447,0.5094180677754567,0.253987883765136
Bank Leverage,0.0682839355825733,0.0769330114256955,0.1351387792554649,0.7705612171461471,0.0670739508700102,0.0681796653313601,0.6414726202661207,0.0768237347525451,0.5130920990253509,0.2017241811382786,0.0736088402038743
CDS Contract Returns,1.396657986111111,1.396657986111111,1.124865508497807,1.623967090034113,1.6603184393274857,2.124670671905458,0.9871353595577486,1.0496760020711502,1.0200023985745614,1.6732983446028264,1.322584387944688
CDS Portfolio Returns,0.1733964085578918,0.1733964085578918,0.5623456239700317,0.9800585508346558,0.2672099769115448,0.5335096120834351,0.950767993927002,0.9579194784164428,0.9382048845291138,0.8212736248970032,0.3722667098045349
CDS-Bond Basis,46.90271882318501,2.81904187285692,0.8341808453097556,0.6473124233844408,0.5594913027046435,0.6977681287278615,0.798645877168106,0.6675048399306572,0.485380936562317,0.4600467369204662,0.9934528002415104
CIP Spreads,0.2820805609226227,0.3422624170780182,0.4521452486515045,0.8809607625007629,0.4232892394065857,0.2883038818836212,0.641706109046936,0.3163301944732666,0.7108582258224487,0.4958613812923431,0.3049995005130768
CJS Option Returns,1.0467431545257568,1.0467431545257568,0.9278753995895386,5.868597030639648,1.1110246181488037,1.3817410469055176,1.6101915836334229,1.195271134376526,1.040436029434204,1.3080357313156128,1.0198132991790771
CRSP Stock Returns,3.637921901904865,3.637921901904865,1.0225650887524214,2.7020221107538744,3.924763909814895,4.070436514609342,2.827033671437796,13.545038743004737,2.383498363847934,3.243931271523892,1.397073549491498
CRSP Stock Returns (ex-div),3.74940935414873,3.74940935414873,1.037847051731328,1.9455336243542836,5.14732220929294,3.4220151995668315,14.061884551226862,2.907749105413259,2.4962642175392813,3.060437153599871,1.4453045126183814
Commodity Returns,1.9458682537078855,1.9458682537078855,1.0824464559555054,1.0,1.354339838027954,1.6438757181167605,1.720005989074707,4.305232048034668,1.522799730300903,1.5883136987686155,1.01679265499115
Corporate Bond Returns,1.852502300776813,1.852502300776813,1.3855743829101088,2.1080133901407594,36.86340864838553,1.8576346810096545,1.7493146790828331,1.9592562849870192,6.309981821961707,5.400461296243712,3.2714691632524744
Corporate Portfolio Returns,1.5817989110946655,1.5817989110946655,2.039844274520874,2.912936449050904,2.818418264389038,1.8371477127075195,0.9489675760269164,0.9715064764022828,4.397542476654053,1.186688780784607,2.4286904335021973
FF25 Size-BM Returns,3.441330671310425,3.441330671310425,0.9916465878486632,1.0,10.128933906555176,4.73138952255249,1.338747501373291,1.351870894432068,,2.0189549922943115,2.6905975341796875
FF25 Size-Inv Returns,3.91872763633728,3.91872763633728,0.991343319416046,1.0,10.06076431274414,5.226468563079834,1.690534234046936,1.3612955808639526,,2.1458616256713867,2.5082123279571533
FF25 Size-Op Returns,3.9259302616119385,3.9259302616119385,0.9914588928222656,1.0,8.656791687011719,12.380693435668944,1.2933006286621094,1.3886123895645142,,2.9467482566833496,2.447920322418213
FX Returns,0.8221962451934814,0.8221962451934814,0.8221962451934814,1.4046791791915894,1.088896870613098,0.988714337348938,1.499866008758545,1.0850673913955688,0.8294132947921753,1.013338565826416,0.9493548274040222
HKM All Factor Returns,0.7670409083366394,0.7670409083366394,0.7169531583786011,0.9992239475250244,0.86086106300354,1.5146472454071045,1.6310328245162964,0.9953113794326782,1.3614264726638794,1.25913405418396,1.6386805772781372
HKM Daily Factor Returns,0.6209333539009094,0.6209333539009094,0.5592973828315735,0.9999657273292542,0.9495679140090942,1.6473699808120728,0.9437804222106934,0.8409055471420288,0.9573527574539183,1.1475584506988523,3.016697883605957
HKM Monthly Factor Returns,0.7528375387191772,0.7528375387191772,0.8670867681503296,0.9998029470443726,0.7261489629745483,0.8053137063980103,1.025517463684082,1.0762860774993896,0.9849330186843872,0.9247800707817078,0.6587861776351929
HKM Option Returns,0.6980351805686951,0.6980351805686951,0.9980506896972656,4.995534896850586,0.7898685336112976,0.9054681062698364,1.1602803468704224,1.6853457689285278,0.9832755327224731,1.1123937368392944,0.8153542876243591
TIPS-Treasury Basis,0.4806114435195923,0.3719915151596069,0.8451368808746338,0.9413621425628662,0.4929588437080383,0.5013861060142517,1.364723563194275,0.9684029817581176,1.094689130783081,3.0974462032318115,0.9126214981079102
Treasury Bond Returns,2.0712952099258093,2.0712952099258093,1.573138559464928,1.7586315347136354,1.2675020506056092,1.4474334716796875,1.198873835501911,1.0824880256927272,1.0751132004552608,1.4063801936966052,3.024693989925247
Treasury Portfolio Returns,2.8294882774353027,2.8294882774353027,2.3536386489868164,3.023258924484253,3.155324459075928,2.474398136138916,1.2441297769546509,1.1707541942596436,1.102368712425232,1.365845799446106,15.079925537109377
Treasury Yield Curve,0.2234174907207489,0.2318484783172607,0.2234174907207489,0.3399390578269958,0.2652594745159149,0.3007216453552246,0.7121993899345398,0.2342097461223602,,0.3017267882823944,0.2699529826641083
Treasury-SF Basis,1.00681471824646,2.221012830734253,1.00681471824646,1.0,1.019991755485535,1.0059186220169067,1.5097219944000244,167.62600708007812,1.6288883686065674,1.2589271068572998,1.443839430809021
Treasury-Swap Basis,1.5620659589767456,1.4027366638183594,1.5620659589767456,1.0,1.3321486711502075,1.199826955795288,1.1922224760055542,1.360198974609375,1.0,1.108311414718628,1.0
