Model,ftsfr_CDS_bond_basis_non_aggregated,ftsfr_CDS_contract_returns,ftsfr_CDS_portfolio_returns,ftsfr_CIP_spreads,ftsfr_CRSP_monthly_stock_ret,ftsfr_CRSP_monthly_stock_retx,ftsfr_FX_returns,ftsfr_commodities_returns,ftsfr_corp_bond_portfolio_returns,ftsfr_corp_bond_returns,ftsfr_french_portfolios_25_daily_size_and_bm,ftsfr_he_kelly_manela_all,ftsfr_he_kelly_manela_factors_daily,ftsfr_he_kelly_manela_factors_monthly,ftsfr_hkm_option_returns,ftsfr_nyu_call_report_cash_liquidity,ftsfr_nyu_call_report_holding_company_cash_liquidity,ftsfr_nyu_call_report_holding_company_leverage,ftsfr_nyu_call_report_leverage,ftsfr_tips_treasury_basis,ftsfr_treas_bond_portfolio_returns,ftsfr_treas_bond_returns,ftsfr_treas_yield_curve_zero_coupon,ftsfr_treasury_sf_basis,ftsfr_treasury_swap_basis
auto_arima_fast,Success,No_CSV,No_CSV,No_CSV,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
deepar,Success,No_CSV,No_CSV,No_CSV,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
dlinear,Success,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
kan,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
naive,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,Success,CSV_But_No_Results,CSV_But_No_Results
nbeats,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
nhits,Success,No_CSV,No_CSV,No_CSV,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
nlinear,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
simple_exponential_smoothing,No_CSV,No_CSV,No_CSV,No_CSV,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
theta,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
tide,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,CSV_But_No_Results,No_CSV
vanilla_transformer,Success,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV,No_CSV
